tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[I, det, same, kom, det, ein, mann, inn, i, stova, ., Han, var, høg, og, mørk, ,, og, hadde, eit, andlet, som, var, både, vilt, og, vakkert, ., Han, var, kledd, i, ein, svart, frakk, ,, og, hadde, ein, svart, hatt, på, hovudet, ., Han, var, ikkje, nett, så, høg, som, dei, andre, karane, ,, men, han, var, likevel, ein, av, dei, største, i, laget, ., Han, helsa, på, dei, som, var, inne, ,, og, bad, dei, setja, seg, til, bords, ., Dei, gjorde, som, han, sa, ,, og, sette, seg, til, bords, ., Det, var, ikkje, lenge, før, dei, fekk, maten, ,, og, dei, åt, og, drakk, ., Dei, var, ikkje, så, nøye, på, det, med, maten, ,, dei, som, var, i, laget, ,, og, dei, åt, så, mykje, dei, orka, ., Dei, var, ikkje, så, nøye, på, det, med, drikka, heller, ,, dei, som, var, i, laget, ,, og, dei, drakk, så, mykje, dei, orka, ., Dei, var, ikkje, så, nøye, på, det, med, maten, heller, ,, dei, som, var, i, laget, ,, og, dei, åt, så, mykje, dei, orka, ., Dei, var, ikkje, så, nøye, på, det, med, drikka, heller, ,, dei, som]",ADP DET ADJ VERB PRON X NOUN ADP ADP PROPN PUNCT PRON AUX ADJ CCONJ ADJ PUNCT CCONJ VERB DET VERB PRON AUX CCONJ ADJ CCONJ ADJ PUNCT PRON AUX ADJ ADP X ADJ NOUN PUNCT CCONJ VERB PROPN ADJ NOUN ADP NOUN PUNCT PRON AUX ADV NOUN ADV ADJ ADP X DET NOUN PUNCT CCONJ PRON AUX ADV X ADP DET ADJ ADP NOUN PUNCT PRON NOUN ADP NOUN PRON VERB ADP PUNCT CCONJ VERB X VERB PRON ADP NOUN PUNCT PRON VERB PRON PRON VERB PUNCT CCONJ VERB PRON ADP NOUN PUNCT PRON VERB ADV ADJ SCONJ NOUN VERB NOUN PUNCT CCONJ NOUN VERB CCONJ VERB PUNCT PROPN AUX X ADV ADJ ADP PRON ADP NOUN PUNCT NOUN PRON AUX ADP NOUN PUNCT CCONJ PROPN VERB ADV X X VERB PUNCT NOUN AUX X ADV ADJ ADP PRON ADP NOUN ADV PUNCT NOUN PRON AUX ADP NOUN PUNCT CCONJ PROPN VERB ADV X X VERB PUNCT NOUN AUX X ADV ADJ ADP PRON ADP NOUN ADV PUNCT NOUN PRON AUX ADP NOUN PUNCT CCONJ PROPN VERB ADV X X VERB PUNCT NOUN AUX X ADV ADJ ADP PRON ADP NOUN ADV PUNCT NOUN PRON,0.03670886075949367,0.386990553306341,196,790,0.6887755102040817,0.4196840489197297
"[For, det, første, er, det, viktig, å, være, klar, over, at, det, er, stor, forskjell, på, å, være, en, god, og, en, dårlig, leder, ., En, god, leder, er, en, som, får, det, beste, ut, av, sine, medarbeidere, ,, og, som, skaper, et, miljø, der, de, ansatte, trives, og, utvikler, seg, ., En, dårlig, leder, er, en, som, får, det, verste, ut, av, sine, medarbeidere, ,, og, som, skaper, et, miljø, der, de, ansatte, mistrives, og, utvikler, seg, dårlig, ., Det, er, ikke, nødvendigvis, noen, sammenheng, mellom, disse, to, ytterpunktene, ., En, god, leder, kan, være, en, dårlig, leder, ,, og, en, dårlig, leder, kan, være, en, god, leder, ., Det, er, derfor, viktig, å, være, klar, over, at, det, er, forskjell, på, å, være, en, god, og, en, dårlig, leder, ., 
, For, det, andre, er, det, viktig, å, være, klar, over, at, det, er, forskjell, på, å, være, en, god, og, en, dårlig, leder, ., En, god, leder, er, en, som, får, det, beste, ut, av, sine, medarbeidere, ,, og, som, skaper, et, miljø, der, de, ansatte, trives, og, utvikler, seg, ., En, dårlig, leder, er, en, som, får, det, verste, ut, av, sine, medarbeidere, ,, og, som, skaper, et, miljø, der, de]",ADP DET ADJ AUX PRON ADJ PART AUX ADJ SCONJ SCONJ PRON VERB ADJ NOUN SCONJ PART AUX DET ADJ CCONJ DET ADJ NOUN PUNCT DET ADJ NOUN AUX PRON PRON VERB DET ADJ ADP ADP PRON NOUN PUNCT CCONJ PRON VERB DET NOUN SCONJ DET ADJ VERB CCONJ VERB PRON PUNCT DET ADJ NOUN AUX PRON PRON VERB DET ADJ ADP ADP PRON NOUN PUNCT CCONJ PRON VERB DET NOUN SCONJ DET ADJ VERB CCONJ VERB PRON ADJ PUNCT PRON AUX PART ADV DET NOUN ADP DET NUM NOUN PUNCT DET ADJ NOUN AUX AUX DET ADJ NOUN PUNCT CCONJ DET ADJ NOUN AUX AUX DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART AUX ADJ SCONJ SCONJ PRON VERB NOUN SCONJ PART AUX DET ADJ CCONJ DET ADJ NOUN PUNCT SPACE ADP DET ADJ AUX PRON ADJ PART AUX ADJ SCONJ SCONJ PRON VERB NOUN SCONJ PART AUX DET ADJ CCONJ DET ADJ NOUN PUNCT DET ADJ NOUN AUX PRON PRON VERB DET ADJ ADP ADP PRON NOUN PUNCT CCONJ PRON VERB DET NOUN SCONJ DET ADJ VERB CCONJ VERB PRON PUNCT DET ADJ NOUN AUX PRON PRON VERB DET ADJ ADP ADP PRON NOUN PUNCT CCONJ PRON VERB DET NOUN SCONJ PRON,0.03301384451544196,0.3581573033707885,205,939,0.697560975609756,1.0
"[Då, han, hadde, vore, i, Amerika, i, to, år, ,, kom, han, heim, att, til, Noreg, ., Han, var, då, ein, velhalden, mann, ., Han, hadde, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Amerika, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Noreg, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Amerika, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Noreg, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Amerika, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Noreg, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Amerika, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Noreg, ., Han, hadde, og, tent, seg, opp, ein, liten, formue, på, å, selja, eigedomar, i, Amerika, .]",VERB PRON AUX VERB ADP PROPN ADP NUM NOUN PUNCT VERB PRON X X ADP PROPN PUNCT PRON AUX X X X NOUN PUNCT PRON AUX VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT PRON VERB CCONJ VERB PRON ADP ADJ ADJ NOUN SCONJ PART PROPN X ADP PROPN PUNCT,0.03557312252964427,0.38735211267605657,167,759,0.6287425149700598,0.3019855821085992
"[Noen, beskjed, i, tilfelle, han, ikke, har, fått, med, seg, at, det, er, en, tråd, om, dette, her, inne, ., Jeg, har, en, slik, ,, og, den, er, ikke, så, veldig, dyr, ., Jeg, har, ikke, fått, testet, den, så, mye, enda, ,, men, den, er, veldig, fin, å, ha, med, seg, på, tur, når, man, skal, ha, med, seg, litt, mer, enn, bare, en, liten, sekk, ., Den, er, også, fin, å, ha, med, seg, på, tur, når, man, skal, ha, med, seg, litt, mer, enn, bare, en, liten, sekk, ., Den, er, også, fin, å, ha, med, seg, på, tur, når, man, skal, ha, med, seg, litt, mer, enn, bare, en, liten, sekk, ., Den, er, også, fin, å, ha, med, seg, på, tur, når, man, skal, ha, med, seg, litt, mer, enn, bare, en, liten, sekk, ., Den, er, også, fin, å, ha, med, seg, på, tur, når, man, skal, ha, med, seg, litt, mer, enn, bare, en, liten, sekk, ., Den, er, også, fin, å, ha, med, seg, på, tur, når, man, skal, ha, med, seg, litt, mer, enn, bare, en, liten, sekk, ., Den, er, også, fin, å, ha, med, seg, på, tur, når, man]",DET NOUN ADP NOUN PRON PART AUX VERB ADP PRON SCONJ PRON AUX DET NOUN ADP PRON ADV ADP PUNCT PRON VERB DET DET PUNCT CCONJ PRON AUX PART ADV ADJ NOUN PUNCT PRON AUX PART AUX VERB PRON ADV ADJ ADV PUNCT CCONJ PRON AUX ADJ ADJ PART VERB ADP PRON ADP NOUN SCONJ PRON AUX VERB ADP PRON ADJ ADJ ADP ADV DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADP PRON ADP NOUN SCONJ PRON AUX VERB ADP PRON ADJ ADJ ADP ADV DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADP PRON ADP NOUN SCONJ PRON AUX VERB ADP PRON ADJ ADJ ADP ADV DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADP PRON ADP NOUN SCONJ PRON AUX VERB ADP PRON ADJ ADJ ADP ADV DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADP PRON ADP NOUN SCONJ PRON AUX VERB ADP PRON ADJ ADJ ADP ADV DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADP PRON ADP NOUN SCONJ PRON AUX VERB ADP PRON ADJ ADJ ADP ADV DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADP PRON ADP NOUN SCONJ PRON,0.035759897828863345,0.3627792915531351,200,783,0.855,0.4547331847265108
"[Men, så, banket, jomfru, Hansen, på, døren, og, sa, at, nå, var, det, på, tide, å, gå, til, bords, ., Og, så, gikk, de, til, bords, alle, sammen, ,, og, det, var, et, stort, bord, ,, og, det, var, dekket, med, de, kosteligste, retter, og, med, øl, og, brennevin, ,, og, gutten, fikk, så, mye, han, ville, ha, av, det, alt, sammen, ., Men, da, han, hadde, spist, og, drukket, alt, han, orket, ,, hadde, han, ikke, lyst, på, mer, ,, og, han, takket, jomfruen, pent, for, maten, og, skjenket, henne, på, nytt, ., Da, han, så, hadde, drukket, enda, en, gang, ,, sa, jomfruen, :, «, Nå, er, det, ikke, verdt, du, drikker, mer, ;, nå, skal, du, få, den, fineste, kåpen, og, gullkjede, og, så, mye, penger, som, du, vil, ha, ,, og, alt, sammen, skal, du, ha, å, gjøre, stas, med, ., », Det, varte, ikke, lenge, før, han, fikk, den, kåpen, ,, og, så, levde, han, så, lystig, ,, tok, henne, opp, på, hesten, og, red, av, gårde, ., Det, varte, ikke, lenge, før, det, kom, en, mann, og, spurte, om, han, ikke, ville, komme, hjem, til, ham, og, spise]",CCONJ ADV VERB PROPN PROPN ADP NOUN CCONJ VERB SCONJ ADV AUX PRON ADP NOUN PART VERB ADP NOUN PUNCT CCONJ ADV VERB PRON ADP NOUN PRON ADV PUNCT CCONJ PRON AUX DET ADJ NOUN PUNCT CCONJ PRON AUX ADJ ADP DET ADJ NOUN CCONJ ADP NOUN CCONJ NOUN PUNCT CCONJ NOUN VERB ADV ADJ PRON AUX VERB ADP PRON PRON ADV PUNCT CCONJ SCONJ PRON AUX VERB CCONJ VERB PRON PRON VERB PUNCT VERB PRON PART NOUN ADP ADJ PUNCT CCONJ PRON VERB NOUN ADJ ADP NOUN CCONJ VERB PRON ADP ADJ PUNCT SCONJ PRON ADV AUX VERB ADV DET NOUN PUNCT VERB NOUN PUNCT PUNCT ADV AUX PRON PART ADJ PRON VERB ADJ PUNCT ADV AUX PRON VERB DET ADJ NOUN CCONJ NOUN CCONJ ADV ADJ NOUN PRON PRON AUX VERB PUNCT CCONJ PRON ADV AUX PRON VERB PART VERB NOUN ADP PUNCT PUNCT PRON VERB PART ADJ SCONJ PRON VERB DET NOUN PUNCT CCONJ ADV VERB PRON ADV ADJ PUNCT VERB PRON ADP ADP NOUN CCONJ VERB ADP NOUN PUNCT PRON VERB PART ADJ SCONJ PRON VERB DET NOUN CCONJ VERB SCONJ PRON PART AUX VERB ADP ADP PRON CCONJ VERB,0.04232164449818621,0.37478149100257,194,827,0.6907216494845361,0.32217173698895335
"[Det, synspunkt, at, miljøskifte, og, nye, omgivelser, kan, være, en, fordel, for, barnet, ,, er, ikke, i, seg, selv, tilstrekkelig, til, å, begrunne, at, det, offentlige, overtar, omsorgen, for, et, barn, ., Det, er, heller, ikke, tilstrekkelig, at, barnet, har, vært, plassert, utenfor, hjemmet, i, kortere, eller, lengre, tid, og, at, det, har, funnet, seg, vel, til, rette, ., Det, må, i, tillegg, være, slik, at, barnet, har, behov, for, en, slik, løsning, ., Det, er, ikke, tilstrekkelig, at, barnet, har, vært, i, fosterhjem, eller, barnehjem, og, at, det, har, hatt, det, bra, ., Det, må, være, en, reell, fare, for, at, barnet, vil, få, det, enda, bedre, i, det, biologiske, hjemmet, ., Det, er, ikke, tilstrekkelig, at, barnet, har, det, bra, i, fosterhjemmet, eller, i, institusjonen, og, at, det, har, knyttet, seg, til, dem, som, tar, hånd, om, det, ., Det, må, være, en, reell, fare, for, at, barnet, vil, få, det, enda, bedre, i, det, biologiske, hjemmet, ., 
, Det, er, ikke, tilstrekkelig, at, barnet, har, hatt, det, bra, i, fosterhjemmet, eller, i, institusjonen, og, at, det, har, knyttet, seg, til, dem, som, tar, hånd, om, det, ., Det, må, være, en, reell, fare, for, at, barnet, vil, få, det]",DET NOUN SCONJ NOUN CCONJ ADJ NOUN AUX AUX DET NOUN ADP NOUN PUNCT AUX PART ADP PRON DET ADJ SCONJ PART VERB SCONJ DET ADJ VERB NOUN ADP DET NOUN PUNCT PRON AUX ADV PART ADJ SCONJ NOUN AUX AUX VERB ADP NOUN ADP ADJ CCONJ ADJ NOUN CCONJ SCONJ PRON AUX VERB PRON ADV ADP ADJ PUNCT PRON AUX ADP NOUN AUX ADV SCONJ NOUN VERB NOUN ADP DET DET NOUN PUNCT PRON AUX PART ADJ SCONJ NOUN AUX AUX ADP NOUN CCONJ NOUN CCONJ SCONJ PRON AUX VERB PRON ADJ PUNCT PRON AUX AUX DET ADJ NOUN SCONJ SCONJ NOUN AUX VERB PRON ADV ADJ ADP DET ADJ NOUN PUNCT PRON AUX PART ADJ SCONJ NOUN VERB PRON ADJ ADP NOUN CCONJ ADP NOUN CCONJ SCONJ PRON AUX VERB PRON ADP PRON PRON VERB NOUN ADP PRON PUNCT PRON AUX AUX DET ADJ NOUN SCONJ SCONJ NOUN AUX VERB PRON ADV ADJ ADP DET ADJ NOUN PUNCT SPACE PRON AUX PART ADJ SCONJ NOUN AUX VERB PRON ADJ ADP NOUN CCONJ ADP NOUN CCONJ SCONJ PRON AUX VERB PRON ADP PRON PRON VERB NOUN ADP PRON PUNCT PRON AUX AUX DET ADJ NOUN SCONJ SCONJ NOUN AUX VERB PRON,0.028971028971028972,0.3518907563025207,202,1001,0.693069306930693,0.31265586364648634
"[Nei, sa, Beatrice, Bare, gå, og, se, selv, sa, hun, og, gikk, ., Jeg, ble, stående, og, se, på, henne, en, stund, før, jeg, gikk, bort, til, henne, ., Hun, hadde, på, seg, en, hvit, kjole, som, var, åpen, i, ryggen, og, hadde, en, dyp, utringning, ., Jeg, så, at, hun, hadde, en, sort, bh, på, seg, og, at, hun, hadde, en, sort, truse, med, blonder, på, seg, ., Jeg, så, at, hun, hadde, en, sort, strømpebukse, på, seg, og, at, hun, hadde, på, seg, sorte, sko, med, høye, hæler, ., Hun, hadde, også, på, seg, et, sort, silkeskjerf, i, halsen, ., Hun, så, på, meg, og, smilte, før, hun, gikk, bort, til, et, bord, og, satte, seg, ned, ., Hun, tok, av, seg, bhen, og, trusen, ., Hun, tok, på, seg, en, sort, bh, og, en, sort, truse, ., Hun, tok, på, seg, noen, sorte, strømper, og, sko, med, høye, hæler, ., Hun, tok, på, seg, en, sort, silke, kjole, og, gikk, bort, til, meg, ., Hun, tok, av, seg, kjolen, og, trusen, ., Hun, tok, på, seg, en, sort, bh, og, en, sort, truse, ., Hun, tok, på, seg]",INTJ VERB PROPN ADV VERB CCONJ VERB ADV VERB PRON CCONJ VERB PUNCT PRON VERB ADJ CCONJ VERB ADP PRON DET NOUN SCONJ PRON VERB ADP ADP PRON PUNCT PRON VERB ADP PRON DET ADJ NOUN PRON AUX ADJ ADP NOUN CCONJ VERB DET ADJ NOUN PUNCT PRON VERB SCONJ PRON VERB DET ADJ NOUN ADP PRON CCONJ SCONJ PRON VERB DET ADJ NOUN ADP NOUN ADP PRON PUNCT PRON VERB SCONJ PRON VERB DET ADJ NOUN ADP PRON CCONJ SCONJ PRON VERB ADP PRON ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB ADV ADP PRON DET ADJ NOUN SCONJ NOUN PUNCT PRON VERB ADP PRON CCONJ VERB SCONJ PRON VERB ADP ADP DET NOUN CCONJ VERB PRON ADP PUNCT PRON VERB ADP PRON NOUN CCONJ NOUN PUNCT PRON VERB ADP PRON DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT PRON VERB ADP PRON DET ADJ NOUN CCONJ NOUN ADP ADJ NOUN PUNCT PRON VERB ADP PRON DET ADJ DET NOUN CCONJ VERB ADP ADP PRON PUNCT PRON VERB ADP PRON NOUN CCONJ NOUN PUNCT PRON VERB ADP PRON DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT PRON VERB ADP PRON,0.039190897597977246,0.37991913746630623,191,791,0.6963350785340314,0.29575035696853635
"[For, 2, av, elevene, har, det, vært, en, stor, utfordring, å, komme, seg, til, og, fra, skolen, ., De, har, hatt, en, lang, og, slitsom, reisevei, og, har, måttet, overnatte, på, skolen, ., Dette, har, vært, en, stor, belastning, for, dem, og, de, har, vært, veldig, lei, seg, for, at, de, ikke, har, kunnet, være, på, skolen, og, delta, i, undervisningen, ., De, har, også, vært, veldig, lei, seg, for, at, de, ikke, har, kunnet, være, med, på, fritidsaktiviteter, som, de, vanligvis, deltar, på, ., De, har, også, vært, veldig, lei, seg, for, at, de, ikke, har, kunnet, være, med, på, bursdager, og, andre, sosiale, sammenkomster, som, de, vanligvis, deltar, på, ., De, har, også, vært, veldig, lei, seg, for, at, de, ikke, har, kunnet, være, med, på, skoleaktiviteter, som, de, vanligvis, deltar, på, ., De, har, også, vært, veldig, lei, seg, for, at, de, ikke, har, kunnet, være, med, på, fritidsaktiviteter, som, de, vanligvis, deltar, på, ., De, har, også, vært, veldig, lei, seg, for, at, de, ikke, har, kunnet, være, med, på, skoleaktiviteter, som, de, vanligvis, deltar, på, ., De, har, også, vært, veldig, lei, seg, for, at, de, ikke, har, kunnet, være, med, på, fritidsaktiviteter, som, de, vanligvis]",ADP NUM ADP NOUN AUX PRON AUX DET ADJ NOUN PART VERB PRON ADP CCONJ ADP NOUN PUNCT PRON AUX VERB DET ADJ CCONJ ADJ NOUN CCONJ AUX AUX VERB ADP NOUN PUNCT PRON AUX AUX DET ADJ NOUN ADP PRON CCONJ PRON AUX AUX ADJ ADJ PRON SCONJ SCONJ PRON PART AUX AUX AUX SCONJ NOUN CCONJ VERB ADP NOUN PUNCT PRON AUX ADV AUX ADJ ADJ PRON SCONJ SCONJ PRON PART AUX AUX AUX ADP ADP NOUN PRON PRON ADV VERB ADP PUNCT PRON AUX ADV AUX ADJ ADJ PRON SCONJ SCONJ PRON PART AUX AUX AUX ADP ADP NOUN CCONJ DET ADJ NOUN PRON PRON ADV VERB ADP PUNCT PRON AUX ADV AUX ADJ ADJ PRON SCONJ SCONJ PRON PART AUX AUX AUX ADP ADP NOUN PRON PRON ADV VERB ADP PUNCT PRON AUX ADV AUX ADJ ADJ PRON SCONJ SCONJ PRON PART AUX AUX AUX ADP ADP NOUN PRON PRON ADV VERB ADP PUNCT PRON AUX ADV AUX ADJ ADJ PRON SCONJ SCONJ PRON PART AUX AUX AUX ADP ADP NOUN PRON PRON ADV VERB ADP PUNCT PRON AUX ADV AUX ADJ ADJ PRON SCONJ SCONJ PRON PART AUX AUX AUX ADP ADP NOUN PRON PRON ADV,0.0259222333000997,0.378008385744234,201,1003,0.7611940298507462,0.32267161073359313
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, rekke, kurs, i, regi, av, Statens, teknologiske, institutt, ., Kursene, er, beregnet, på, arbeidsledige, og, permitterte, som, ønsker, å, kvalifisere, seg, for, nye, arbeidsoppgaver, ., Kursene, er, lagt, opp, med, sikte, på, å, gi, deltakerne, en, innføring, i, de, mest, aktuelle, fagområder, innen, industri, og, håndverk, ., Kursene, er, gratis, og, det, er, ingen, opptakskrav, ., Kursene, er, lagt, opp, med, en, kombinasjon, av, teori, og, praksis, og, det, er, lagt, opp, til, at, deltakerne, skal, kunne, ta, med, seg, arbeidsoppgaver, hjem, og, arbeide, med, disse, i, fritiden, ., 
, Kursene, er, lagt, opp, med, en, kombinasjon, av, teori, og, praksis, og, det, er, lagt, opp, til, at, deltakerne, skal, kunne, ta, med, seg, arbeidsoppgaver, hjem, og, arbeide, med, disse, i, fritiden, ., Kursene, er, lagt, opp, med, en, kombinasjon, av, teori, og, praksis, og, det, er, lagt, opp, til, at, deltakerne, skal, kunne, ta, med, seg, arbeidsoppgaver, hjem, og, arbeide, med, disse, i, fritiden, ., Kursene, er, lagt, opp, med, en, kombinasjon, av, teori, og, praksis, og, det, er, lagt, opp, til, at, deltakerne, skal, kunne, ta, med, seg, arbeidsoppgaver, hjem, og, arbeide]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN NOUN ADP NOUN ADP PROPN ADJ NOUN PUNCT NOUN AUX VERB ADP ADJ CCONJ ADJ PRON VERB PART VERB PRON ADP ADJ NOUN PUNCT NOUN AUX VERB ADP ADP NOUN SCONJ PART VERB NOUN DET NOUN ADP DET ADJ ADJ NOUN ADP NOUN CCONJ NOUN PUNCT NOUN AUX ADJ CCONJ PRON VERB DET NOUN PUNCT NOUN AUX VERB ADP ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ PRON AUX VERB ADP SCONJ SCONJ NOUN AUX AUX VERB ADP PRON NOUN ADP CCONJ VERB ADP PRON ADP NOUN PUNCT SPACE NOUN AUX VERB ADP ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ PRON AUX VERB ADP SCONJ SCONJ NOUN AUX AUX VERB ADP PRON NOUN ADP CCONJ VERB ADP PRON ADP NOUN PUNCT NOUN AUX VERB ADP ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ PRON AUX VERB ADP SCONJ SCONJ NOUN AUX AUX VERB ADP PRON NOUN ADP CCONJ VERB ADP PRON ADP NOUN PUNCT NOUN AUX VERB ADP ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ PRON AUX VERB ADP SCONJ SCONJ NOUN AUX AUX VERB ADP PRON NOUN ADP CCONJ VERB,0.03188405797101449,0.35833671399594247,192,1035,0.6354166666666666,0.1827163907160998
"[Personell, og, organisering, av, sekretariatet, for, kontrollutvalet, |, Finans, Norge, 
, Finans, Norge, Politikk, Høringsuttalelser, Høringsuttalelser, 2010, Personell, og, organisering, av, sekretariatet, for, kontrollutvalet, 
, Vår, ref., :, 10-563, BKA, /, TS, 
, Deres, ref., :, 10/3684, EGJ, 
, Finansnæringens, Fellesorganisasjon, (, FNO, ), viser, til, Finansdepartementets, brev, av, 22.12.2010, vedlagt, høringsnotat, om, forslag, til, endringer, i, kommuneloven, og, enkelte, andre, lover, (, unntak, fra, kommunelovens, regler, om, revisjon, og, kontrollutvalg, ), ., 
, FNO, er, en, hovedorganisasjon, for, finansnæringen, i, Norge, og, representerer, mer, enn, 200, medlemsbedrifter, ., Vi, har, i, denne, sammenheng, særlig, merket, oss, at, det, i, høringsnotatet, foreslås, at, sekretariatet, for, kontrollutvalget, skal, legges, til, revisjonen, eller, sekretariatet, for, kontrollutvalget, i, kommunen, ., 
, FNO, er, enig, i, at, sekretariatet, for, kontrollutvalget, bør, legges, til, revisjonen, eller, sekretariatet, for, kontrollutvalget, i, kommunen, ., Vi, er, også, enig, i, at, det, bør, være, opp, til, kommunen, å, avgjøre, om, sekretariatet, skal, legges]",NOUN CCONJ NOUN ADP NOUN ADP NOUN PUNCT PROPN PROPN SPACE NOUN PROPN NOUN NOUN NOUN NUM NOUN CCONJ NOUN ADP NOUN ADP NOUN SPACE PRON NOUN PUNCT NUM PROPN PUNCT PROPN SPACE PRON NOUN PUNCT PROPN PROPN SPACE NOUN PROPN PUNCT PROPN PUNCT VERB ADP PROPN NOUN ADP NUM ADJ NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ ADJ DET NOUN PUNCT NOUN ADP NOUN NOUN ADP NOUN CCONJ NOUN PUNCT PUNCT SPACE PROPN AUX DET NOUN ADP NOUN ADP PROPN CCONJ VERB ADJ ADP NUM NOUN PUNCT PRON AUX ADP DET NOUN ADJ VERB PRON SCONJ PRON ADP NOUN VERB SCONJ NOUN ADP NOUN AUX VERB ADP NOUN CCONJ NOUN ADP NOUN ADP NOUN PUNCT SPACE PROPN AUX ADJ SCONJ SCONJ NOUN ADP NOUN AUX VERB ADP NOUN CCONJ NOUN ADP NOUN ADP NOUN PUNCT PRON AUX ADV ADJ SCONJ SCONJ PRON AUX VERB ADP ADP NOUN PART VERB SCONJ NOUN AUX VERB,0.05450941526263627,0.3794791666666656,155,1009,0.41935483870967744,0.2763958869317041
