tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Det, synspunkt, at, miljøskifte, og, miljøforandringer, er, en, nødvendig, forutsetning, for, at, mennesket, skal, kunne, utvikle, seg, og, modnes, ,, er, ikke, noe, nytt, ., Det, er, et, synspunkt, som, har, vært, hevdet, av, mange, filosofer, og, psykologer, gjennom, tidene, ., Det, er, også, et, synspunkt, som, har, vært, hevdet, av, mange, av, de, store, tenkere, i, vår, kulturkrets, ,, og, som, har, vært, en, viktig, del, av, den, filosofiske, og, psykologiske, debatt, i, vår, kulturkrets, gjennom, århundrer, ., Det, er, et, synspunkt, som, har, vært, hevdet, av, mange, av, de, store, tenkere, i, vår, kulturkrets, ,, og, som, har, vært, en, viktig, del, av, den, filosofiske, og, psykologiske, debatt, i, vår, kulturkrets, gjennom, århundrer, ., Det, er, et, synspunkt, som, har, vært, hevdet, av, mange, av, de, store, tenkere, i, vår, kulturkrets, ,, og, som, har, vært, en, viktig, del, av, den, filosofiske, og, psykologiske, debatt, i, vår, kulturkrets, gjennom, århundrer, ., Det, er, et, synspunkt, som, har, vært, hevdet, av, mange, av, de, store, tenkere, i, vår, kulturkrets, ,, og, som, har, vært]",DET NOUN SCONJ NOUN CCONJ NOUN AUX DET ADJ NOUN SCONJ SCONJ NOUN AUX AUX VERB PRON CCONJ VERB PUNCT AUX PART DET ADJ PUNCT PRON AUX DET NOUN PRON AUX AUX VERB ADP ADJ NOUN CCONJ NOUN ADP NOUN PUNCT PRON AUX ADV DET NOUN PRON AUX AUX VERB ADP ADJ ADP DET ADJ NOUN ADP PRON NOUN PUNCT CCONJ PRON AUX AUX DET ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN ADP PRON NOUN ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX VERB ADP ADJ ADP DET ADJ NOUN ADP PRON NOUN PUNCT CCONJ PRON AUX AUX DET ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN ADP PRON NOUN ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX VERB ADP ADJ ADP DET ADJ NOUN ADP PRON NOUN PUNCT CCONJ PRON AUX AUX DET ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN ADP PRON NOUN ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX AUX VERB ADP ADJ ADP DET ADJ NOUN ADP PRON NOUN PUNCT CCONJ PRON AUX AUX,0.029914529914529916,0.37747463359639166,175,936,0.6914285714285714,0.40394177950064836
"[Nei, sa, Beatrice, Bare, gå, til, en, av, de, mange, barer, og, klubber, i, nærheten, av, hotellet, og, nyte, en, drink, eller, en, cocktail, ., Det, er, også, en, rekke, restauranter, i, nærheten, av, hotellet, som, serverer, god, mat, og, drikke, .,                                                                                ]",INTJ VERB PROPN ADV VERB ADP DET ADP DET ADJ NOUN CCONJ NOUN ADP NOUN ADP NOUN CCONJ VERB DET NOUN CCONJ DET NOUN PUNCT PRON AUX ADV DET NOUN NOUN ADP NOUN ADP NOUN PRON VERB ADJ NOUN CCONJ VERB PUNCT SPACE,0.09059233449477352,0.283109243697479,43,287,0.5813953488372093,0.3809499612699581
"[For, 2, av, elevene, har, vi, en, ledig, plass, på, 1., trinn, ., Vi, søker, etter, en, person, som, er, glad, i, å, jobbe, med, barn, og, som, har, lyst, til, å, være, med, å, skape, et, godt, læringsmiljø, for, elevene, ., Vi, søker, etter, en, person, som, er, fleksibel, ,, har, gode, samarbeidsevner, og, som, er, en, god, rollemodell, for, elevene, ., Vi, ønsker, at, du, har, erfaring, fra, arbeid, med, barn, og, at, du, har, gode, norskkunnskaper, både, muntlig, og, skriftlig, ., Vi, ønsker, at, du, har, gode, IKT-kunnskaper, og, at, du, har, erfaring, med, bruk, av, digitale, verktøy, ., Vi, ønsker, at, du, har, erfaring, med, å, jobbe, med, barn, og, at, du, har, gode, norskkunnskaper, både, muntlig, og, skriftlig, ., Vi, ønsker, at, du, har, gode, IKT-kunnskaper, og, at, du, har, erfaring, med, bruk, av, digitale, verktøy, ., Vi, ønsker, at, du, har, gode, norskkunnskaper, både, muntlig, og, skriftlig, ., Vi, ønsker, at, du, har, gode, IKT-kunnskaper, og, at, du, har, erfaring, med, bruk, av, digitale, verktøy, ., Vi, ønsker, at, du, har, gode, norskkunnskaper, både, muntlig, og]",ADP NUM ADP NOUN VERB PRON DET ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB ADP DET NOUN PRON AUX ADJ SCONJ PART VERB ADP NOUN CCONJ PRON VERB NOUN SCONJ PART AUX SCONJ PART VERB DET ADJ NOUN ADP NOUN PUNCT PRON VERB ADP DET NOUN PRON AUX ADJ PUNCT VERB ADJ NOUN CCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON VERB SCONJ PRON VERB NOUN ADP NOUN ADP NOUN CCONJ SCONJ PRON VERB ADJ NOUN CCONJ ADJ CCONJ ADJ PUNCT PRON VERB SCONJ PRON VERB ADJ NOUN CCONJ SCONJ PRON VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON VERB SCONJ PRON VERB NOUN SCONJ PART VERB ADP NOUN CCONJ SCONJ PRON VERB ADJ NOUN CCONJ ADJ CCONJ ADJ PUNCT PRON VERB SCONJ PRON VERB ADJ NOUN CCONJ SCONJ PRON VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON VERB SCONJ PRON VERB ADJ NOUN CCONJ ADJ CCONJ ADJ PUNCT PRON VERB SCONJ PRON VERB ADJ NOUN CCONJ SCONJ PRON VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT PRON VERB SCONJ PRON VERB ADJ NOUN CCONJ ADJ CCONJ,0.03837719298245614,0.3983545770567772,182,912,0.5934065934065934,0.2634484483334246
"[Utover, høsten, 1987, vil, det, bli, arrangert, en, rekke, kurs, i, regi, av, Norges, Husmorforbund, ., Kursene, er, beregnet, på, alle, som, har, lyst, til, å, lære, mer, om, husstell, og, matlaging, ., Kursene, er, åpne, for, alle, interesserte, ,, og, det, er, ingen, krav, til, forkunnskaper, ., Kursene, er, gratis, og, holdes, i, Norges, Husmorforbunds, regi, i, samarbeid, med, lokale, husmorlag, ., Kursene, er, lagt, opp, med, forelesninger, ,, gruppearbeid, og, diskusjoner, ., Kursene, er, beregnet, på, alle, som, har, lyst, til, å, lære, mer, om, husstell, og, matlaging, ., Kursene, er, gratis, og, holdes, i, Norges, Husmorforbunds, regi, i, samarbeid, med, lokale, husmorlag, ., Kursene, er, lagt, opp, med, forelesninger, ,, gruppearbeid, og, diskusjoner, ., Kursene, er, beregnet, på, alle, som, har, lyst, til, å, lære, mer, om, husstell, og, matlaging, ., Kursene, er, gratis, og, holdes, i, Norges, Husmorforbunds, regi, i, samarbeid, med, lokale, husmorlag, ., Kursene, er, lagt, opp, med, forelesninger, ,, gruppearbeid, og, diskusjoner, ., Kursene, er, beregnet, på, alle, som, har, lyst, til, å, lære, mer, om]",ADP NOUN NUM AUX PRON AUX VERB DET NOUN NOUN ADP NOUN ADP PROPN PROPN PUNCT NOUN AUX VERB ADP PRON PRON VERB NOUN SCONJ PART VERB ADJ ADP NOUN CCONJ NOUN PUNCT NOUN AUX ADJ ADP DET ADJ PUNCT CCONJ PRON VERB DET NOUN ADP NOUN PUNCT NOUN AUX ADJ CCONJ VERB ADP PROPN PROPN NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN AUX VERB ADP ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN AUX VERB ADP PRON PRON VERB NOUN SCONJ PART VERB ADJ ADP NOUN CCONJ NOUN PUNCT NOUN AUX ADJ CCONJ VERB ADP PROPN PROPN NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN AUX VERB ADP ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN AUX VERB ADP PRON PRON VERB NOUN SCONJ PART VERB ADJ ADP NOUN CCONJ NOUN PUNCT NOUN AUX ADJ CCONJ VERB ADP PROPN PROPN NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN AUX VERB ADP ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN AUX VERB ADP PRON PRON VERB NOUN SCONJ PART VERB ADJ ADP,0.03695881731784583,0.3744988864142547,173,947,0.48554913294797686,0.2520044135440048
"[Personell, og, organisering, av, sekretariatet, for, det, nye, fylkeslandbruksstyret, i, Hedmark, ., Fra, venstre, :, Fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Per, Harald, Grue, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbrukssjef, Tor, M., Bratberg, ,, fylkeslandbruks]",NOUN CCONJ NOUN ADP NOUN ADP DET ADJ NOUN ADP PROPN PUNCT ADP NOUN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT NOUN,0.031023784901758014,0.4354901960784294,131,967,0.061068702290076333,0.016716541155691954
"[De, nevnte, artiklene, i, FN-organet, er, skrevet, av, en, rekke, forskere, og, eksperter, på, ulike, felt, ., De, er, ikke, skrevet, av, en, enkeltperson, ,, men, av, en, gruppe, forskere, som, har, arbeidet, med, temaet, i, mange, år, ., De, har, alle, vært, med, på, å, utvikle, og, utgi, en, rekke, rapporter, og, bøker, om, temaet, ., De, har, også, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive, en, rekke, artikler, i, ulike, tidsskrifter, ., De, har, alle, vært, med, på, å, skrive]",DET VERB NOUN ADP NOUN AUX VERB ADP DET NOUN NOUN CCONJ NOUN ADP ADJ NOUN PUNCT PRON AUX PART VERB ADP DET NOUN PUNCT CCONJ ADP DET NOUN NOUN PRON AUX VERB ADP NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB CCONJ VERB DET NOUN NOUN CCONJ NOUN ADP NOUN PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB DET NOUN NOUN ADP ADJ NOUN PUNCT PRON AUX PRON AUX ADP SCONJ PART VERB,0.03240223463687151,0.3566666666666654,185,895,0.654054054054054,0.31768699547952095
"[Bør, minimum, være, 10, av, hver, sort, .,                                                                                                   ]",AUX NOUN AUX NUM ADP DET ADJ PUNCT SPACE,0.14393939393939395,0.10216867469879491,9,132,0.4444444444444444,0.020506863138749134
"[Artikkel, 3, tar, opp, Kommisjonens, kompetanse, til, å, vedta, tiltak, som, er, nødvendige, for, å, gjennomføre, de, mål, som, er, satt, i, artikkel, 2, og, artikkel, 3., Artikkel, 3, gir, Kommisjonen, kompetanse, til, å, vedta, tiltak, som, er, nødvendige, for, å, gjennomføre, de, mål, som, er, satt, i, artikkel, 2, og, artikkel, 3., Artikkel, 3, gir, Kommisjonen, kompetanse, til, å, vedta, tiltak, som, er, nødvendige, for, å, gjennomføre, de, mål, som, er, satt, i, artikkel, 2, og, artikkel, 3., Artikkel, 3, gir, Kommisjonen, kompetanse, til, å, vedta, tiltak, som, er, nødvendige, for, å, gjennomføre, de, mål, som, er, satt, i, artikkel, 2, og, artikkel, 3., Artikkel, 3, gir, Kommisjonen, kompetanse, til, å, vedta, tiltak, som, er, nødvendige, for, å, gjennomføre, de, mål, som, er, satt, i, artikkel, 2, og, artikkel, 3., Artikkel, 3, gir, Kommisjonen, kompetanse, til, å, vedta, tiltak, som, er, nødvendige, for, å, gjennomføre, de, mål, som, er, satt, i, artikkel, 2, og, artikkel, 3., Artikkel, 3, gir, Kommisjonen, kompetanse, til, å, vedta, tiltak, som, er, nødvendige, for, å, gjennomføre, de, mål, som, er, satt, i, artikkel, 2, og, artikkel, 3., Artikkel, 3]",NOUN NUM VERB ADP PROPN NOUN SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM PROPN NUM VERB PROPN NOUN SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM PROPN NUM VERB PROPN NOUN SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM PROPN NUM VERB PROPN NOUN SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM PROPN NUM VERB PROPN NOUN SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM PROPN NUM VERB PROPN NOUN SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM PROPN NUM VERB PROPN NOUN SCONJ PART VERB NOUN PRON AUX ADJ SCONJ PART VERB DET NOUN PRON AUX VERB ADP NOUN NUM CCONJ NOUN NUM PROPN NUM,0.02512562814070352,0.3671670190274841,185,995,0.4648648648648649,0.19193449537280763
"[Din, skrønemaker, sa, en, av, de, første, dagene, at, han, hadde, sett, en, mann, som, hadde, en, stor, hatt, på, hodet, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en, av, de, første, dagene, i, februar, ,, og, det, var, en, kald, og, klar, dag, ., Det, var, en]",PRON NOUN VERB DET ADP DET ADJ NOUN SCONJ PRON AUX VERB DET NOUN PRON VERB DET ADJ NOUN ADP NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET,0.02937720329024677,0.3503740648379055,215,851,0.7906976744186046,0.5601375340182555
"[Å, tenke, negative, tanker, er, en, av, de, mest, effektive, måtene, å, bli, kvitt, negative, tanker, ., Det, er, ikke, bare, en, måte, å, bli, kvitt, negative, tanker, på, ,, men, det, er, også, en, måte, å, bli, kvitt, negative, følelser, på, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en, måte, å, bli, kvitt, negative, følelser, på, som, er, effektiv, og, som, er, lett, å, bruke, ., Det, er, en]",PART VERB ADJ NOUN AUX DET ADP DET ADJ ADJ NOUN PART VERB ADJ ADJ NOUN PUNCT PRON AUX PART ADV DET NOUN PART VERB ADJ ADJ NOUN ADP PUNCT CCONJ PRON AUX ADV DET NOUN PART VERB ADJ ADJ NOUN ADP PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET NOUN PART VERB ADJ ADJ NOUN ADP PRON AUX ADJ CCONJ PRON AUX ADJ PART VERB PUNCT PRON AUX DET,0.0273224043715847,0.3649422632794457,206,915,0.6359223300970874,0.39531904292983505
"[Etter, talen, ble, sunget, Min, sjel, ,, min, sjel, ,, lov, Herren, og, det, ble, lagt, ned, krans, fra, hustru, ,, barn, og, svigerbarn, ved, fru, Ruth, Heggelund, ,, fra, barnebarn, ved, fru, Ruth, Heggelund, ,, fra, søsken, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,, fra, naboer, ved, fru, Ruth, Heggelund, ,]",ADP NOUN AUX VERB PRON NOUN PUNCT PRON NOUN PUNCT NOUN PROPN CCONJ PRON AUX VERB ADP NOUN ADP NOUN PUNCT NOUN CCONJ NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT ADP NOUN ADP PROPN PROPN PROPN PUNCT,0.03551912568306011,0.36527086383602436,148,732,0.3108108108108108,0.017290964685447167
"[Lovendringen, vil, føre, til, at, det, blir, lettere, å, få, til, en, god, og, effektiv, utnyttelse, av, de, statlige, midlene, som, er, avsatt, til, å, styrke, det, frivillige, kulturlivet, ., Det, er, viktig, at, det, blir, en, god, balanse, mellom, de, frivillige, organisasjonene, og, det, offentlige, ., Det, er, også, viktig, at, det, offentlige, bidrar, til, å, styrke, de, frivillige, organisasjonene, slik, at, de, kan, få, en, større, del, av, de, statlige, midlene, som, er, avsatt, til, kulturformål, ., 
, Det, er, viktig, at, det, offentlige, bidrar, til, å, styrke, de, frivillige, organisasjonene, slik, at, de, kan, få, en, større, del, av, de, statlige, midlene, som, er, avsatt, til, kulturformål, ., 
, Det, er, viktig, at, det, offentlige, bidrar, til, å, styrke, de, frivillige, organisasjonene, slik, at, de, kan, få, en, større, del, av, de, statlige, midlene, som, er, avsatt, til, kulturformål, ., 
, Det, er, viktig, at, det, offentlige, bidrar, til, å, styrke, de, frivillige, organisasjonene, slik, at, de, kan, få, en, større, del, av, de, statlige, midlene, som, er, avsatt, til, kulturformål, ., 
, Det, er, viktig, at, det, offentlige, bidrar, til, å, styrke, de, frivillige, organisasjonene, slik, at, de, kan, få, en, større, del]",NOUN AUX VERB SCONJ SCONJ PRON VERB ADJ PART VERB ADP DET ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN PRON AUX VERB SCONJ PART VERB DET ADJ NOUN PUNCT PRON AUX ADJ SCONJ PRON VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET ADJ PUNCT PRON AUX ADV ADJ SCONJ DET ADJ VERB SCONJ PART VERB DET ADJ NOUN ADV SCONJ PRON AUX VERB DET ADJ NOUN ADP DET ADJ NOUN PRON AUX VERB ADP NOUN PUNCT SPACE PRON AUX ADJ SCONJ DET ADJ VERB SCONJ PART VERB DET ADJ NOUN ADV SCONJ PRON AUX VERB DET ADJ NOUN ADP DET ADJ NOUN PRON AUX VERB ADP NOUN PUNCT SPACE PRON AUX ADJ SCONJ DET ADJ VERB SCONJ PART VERB DET ADJ NOUN ADV SCONJ PRON AUX VERB DET ADJ NOUN ADP DET ADJ NOUN PRON AUX VERB ADP NOUN PUNCT SPACE PRON AUX ADJ SCONJ DET ADJ VERB SCONJ PART VERB DET ADJ NOUN ADV SCONJ PRON AUX VERB DET ADJ NOUN ADP DET ADJ NOUN PRON AUX VERB ADP NOUN PUNCT SPACE PRON AUX ADJ SCONJ DET ADJ VERB SCONJ PART VERB DET ADJ NOUN ADV SCONJ PRON AUX VERB DET ADJ NOUN,0.024667931688804556,0.35707462686567165,197,1054,0.6700507614213198,0.4599838367064823
"[En, regjeringskilde, i, Mexico, bekrefter, at, det, er, funnet, en, bombe, i, en, bil, som, ble, brukt, under, et, attentat, mot, en, av, presidentens, rådgivere, i, forrige, uke, ., Attentatet, skjedde, i, byen, Ciudad, Juarez, i, delstaten, Sinaloa, i, Mexico, .,                                                                          ]",DET NOUN ADP PROPN VERB SCONJ PRON AUX VERB DET NOUN ADP DET NOUN PRON AUX VERB ADP DET NOUN ADP DET ADP NOUN NOUN ADP DET NOUN PUNCT NOUN VERB ADP NOUN PROPN PROPN ADP NOUN PROPN ADP PROPN PUNCT SPACE,0.10810810810810811,0.30639676113360303,42,296,0.5238095238095238,0.25757699597842093
